순위,Top Keyword,1,,순위,Top Keyword,1
299,사서,0.000463843,,299,허구,0.000481477
300,주지,0.000458208,,300,후반부,0.000479143
301,물이,0.000454472,,301,리브,0.000477512
302,스페인,0.000454127,,302,분명,0.000475804
303,수사,0.000453711,,303,진구,0.000475412
304,막장,0.000453045,,304,뉴스,0.000472639
305,인셉션,0.000452892,,305,비참,0.000471941
306,생각외,0.000450964,,306,장면장면,0.000469389
307,피해자,0.000449091,,307,선생,0.000468691
308,마이,0.000447635,,308,컬트,0.000467789
309,단편,0.000447304,,309,현실적,0.000465874
310,무서움,0.000445296,,310,강호,0.000461195
311,유지태,0.00044336,,311,심플,0.000460088
312,실비아,0.000443194,,312,노잼,0.00045855
313,린트,0.000439624,,313,다짐,0.000457747
314,신기,0.000439566,,314,엘프,0.000457635
315,성숙,0.000438285,,315,도움,0.000457283
316,일수,0.000438156,,316,중학생,0.000457218
317,성해,0.000436394,,317,사정,0.000455714
318,단점,0.000435324,,318,모니카,0.000455109
319,쾌감,0.000435161,,319,메이드,0.000455078
320,드라마,0.000433239,,320,광해,0.000444681
321,인도영화,0.000432849,,321,언론,0.000444062
322,살이,0.000431211,,322,커피,0.000443497
323,포함,0.000429673,,323,애교,0.000440585
324,상승,0.000428972,,324,어용,0.000440283
325,손예진,0.000428071,,325,호연,0.000440166
326,눈빛연기,0.000427343,,326,깡패,0.000438181
327,상업,0.000424358,,327,개인,0.000436647
328,여친,0.000422684,,328,세계관,0.000434376
329,여동생,0.000421193,,329,순간순간,0.000433551
330,파격적,0.000419897,,330,창정,0.000431545
331,평화,0.000416566,,331,영화마지막,0.000428437
332,나의,0.000416116,,332,경지,0.000424597
333,기운,0.000415008,,333,유익,0.000424393
334,카프리,0.000414824,,334,정기,0.0004205
335,리스트,0.000413781,,335,장애,0.000418143
336,평론,0.000413754,,336,근대,0.000415419
337,오랫만,0.000411812,,337,충만,0.000413046
338,겠다,0.000409994,,338,이념,0.000412835
339,하구,0.000409633,,339,생동감,0.000409931
340,센과,0.000409587,,340,류덕환,0.000409138
341,관계,0.00040786,,341,일상,0.000409096
342,초때,0.000404892,,342,민족,0.000409038
343,인물,0.000402402,,343,이동,0.000404644
344,샤를,0.000399998,,344,학살,0.000403918
345,리처드,0.000399916,,345,호불호,0.000402842
346,영화추천,0.000398467,,346,위험,0.000402723
347,수십,0.000398441,,347,앨리스,0.000400829
348,가자,0.000397486,,348,재일,0.000399321
349,레드,0.000397388,,349,나름,0.000397054
350,이형,0.000396563,,350,노부,0.000395463
351,그거,0.000395416,,351,임창정,0.000392049
352,에미,0.000391143,,352,귀요,0.000390708
353,아일랜드,0.000390011,,353,엽기적,0.000389539
354,집착,0.000389879,,354,유머러스,0.000388927
355,수목,0.000388859,,355,번은,0.00038214
356,때메,0.000387116,,356,초콜릿,0.000381533
357,에미넴,0.00038695,,357,관련,0.000381532
358,야동,0.000386506,,358,보여,0.000380745
359,실수,0.000385966,,359,드립,0.000380648
360,시험,0.000385515,,360,재미,0.000380269
361,명성,0.000385108,,361,얼굴,0.000378654
362,언어,0.000384906,,362,레이션,0.000375041
363,이기,0.000384592,,363,가능,0.000374539
364,장면,0.000384215,,364,윌리스,0.000373944
365,호감,0.000383247,,365,제작,0.000372921
366,샤를리즈,0.000381541,,366,겨울,0.00037146
367,단계,0.000381309,,367,유혹,0.000370056
368,디카프리오,0.000380112,,368,참혹,0.000367888
369,환경,0.000378934,,369,계상,0.000365712
370,장나라,0.000377179,,370,명배우,0.00036563
371,정상인,0.000375251,,371,이민,0.000364728
372,수지,0.000372364,,372,일드,0.000362309
373,액션신,0.000372356,,373,분동안,0.000359882
374,부조리,0.000371589,,374,인피,0.000359868
375,경제,0.000371154,,375,니트,0.000359868
376,영화군,0.000371113,,376,악플,0.0003594
377,정의,0.000368636,,377,명언,0.000359288
378,초대,0.000368524,,378,대자연,0.000358564
379,인식,0.000365807,,379,마니아,0.000358025
380,스케일,0.000365477,,380,플롯,0.000357974
381,때매,0.000365438,,381,보시길,0.000356281
382,대사하나하나,0.000365297,,382,성장,0.000355778
383,하이틴,0.00036459,,383,설정,0.00035522
384,순정,0.00036414,,384,인증,0.00035281
385,마의,0.000364009,,385,공존,0.000351727
386,추구,0.000363943,,386,한국적,0.000351328
387,예외,0.000363518,,387,내용면,0.000350975
388,적극추천,0.000361387,,388,속도감,0.000350908
389,금요일,0.000360539,,389,태양,0.000350333
390,변신,0.000360034,,390,왕국,0.000349456
391,퍼시픽,0.000359468,,391,여운,0.000348093
392,실험,0.000356927,,392,인피니트,0.000348027
393,로맨틱코메디,0.000356492,,393,좀비물,0.000347751
394,오의,0.000356417,,394,권선징악,0.000345901
395,일의,0.000354262,,395,커버,0.000345764
396,출발,0.00035402,,396,동감,0.000345708
397,가도,0.000352656,,397,오도,0.000345156
398,동석,0.000351083,,398,이요,0.00034504
399,자전거,0.000350215,,399,파괴,0.000344587
400,감각적,0.000349007,,400,브래드피트,0.000341985
401,하리,0.000346923,,401,세월호,0.00033764
402,서양,0.000345835,,402,짜증,0.000336355
403,패밀리,0.000345384,,403,암살,0.000335489
404,배신,0.000343517,,404,조국,0.000333427
405,국적,0.000342159,,405,조명,0.000331034
406,지환,0.000341958,,406,작전,0.000330018
407,반대편,0.000341359,,407,회복,0.000329835
408,진주,0.000339508,,408,예정,0.000329538
409,마크,0.000338739,,409,이정재,0.000328223
410,고등학생,0.000337835,,410,예술작품,0.000327676
411,마니,0.000337832,,411,돌이,0.000327215
412,공룡,0.000335609,,412,리즈,0.000326677
413,무어,0.000335094,,413,처지,0.000324772
414,비쥬얼,0.000333963,,414,수연,0.000324547
415,베네,0.000333648,,415,중국영화,0.000324519
416,마동석,0.00033051,,416,근육,0.000324092
417,직설적,0.000330474,,417,토토,0.00032406
418,열광,0.00032984,,418,대전,0.000323771
419,우정,0.00032868,,419,재일교포,0.000322739
420,에프,0.000328487,,420,위기,0.00032266
421,에드워드,0.000328299,,421,의지,0.000322346
422,트랙,0.000328262,,422,가시,0.000321566
423,주씨,0.000326201,,423,넘넘,0.000319117
424,음모,0.00032472,,424,희극,0.000319087
425,조작,0.000323662,,425,언더,0.000316698
426,아부,0.000322324,,426,거구,0.000315546
427,현대인,0.000322026,,427,부패,0.000314694
428,수녀,0.000321634,,428,대표적,0.000313808
429,한국식,0.000320829,,429,전의,0.000312394
430,초등학생,0.000318941,,430,포인트,0.000306956
431,작화,0.00031821,,431,레이첼,0.000306219
432,아무,0.000317367,,432,부탁,0.00030616
433,대표작,0.000315994,,433,봐야겠네,0.00030514
434,오드리,0.000314255,,434,볼만하다,0.000304739
435,칭찬,0.000312428,,435,지성,0.000303672
436,중후반,0.000311981,,436,소녀,0.000303196
437,여주인,0.000309546,,437,축복,0.000302948
438,기보,0.000308943,,438,사전,0.000302925
439,점정,0.000307907,,439,만능,0.000301717
440,종결,0.000307816,,440,불행,0.000301333
441,위주,0.000306577,,441,기타노,0.000298915
442,망작,0.000306457,,442,여자친구,0.000298421
443,치부,0.000306245,,443,음식,0.000298122
444,발매,0.000305935,,444,어울림,0.00029774
445,교감,0.000304982,,445,언디스퓨티드,0.000296927
446,간부,0.000303903,,446,예술영화,0.000296784
447,복습,0.00030252,,447,기념비,0.000296743
448,유령,0.000295973,,448,역시,0.000296615
449,끝판,0.000294702,,449,메릴스트립,0.000296182
450,희경,0.000294334,,450,최강희,0.000295533
451,업그레이드,0.000293342,,451,정신,0.000293641
452,녹화,0.000292013,,452,대중,0.000293002
453,이연걸이,0.000291595,,453,이승,0.00029295
454,하정우,0.000290642,,454,시노부,0.00029229
455,병자,0.000289018,,455,속물,0.00029085
456,박찬,0.000288145,,456,임신,0.000290594
457,잔다르크,0.000286031,,457,송강호,0.000290557
458,다르크,0.000286031,,458,활동,0.000289307
459,갈매기,0.000284928,,459,본인,0.000288392
460,육아,0.0002849,,460,나로,0.000287613
461,신세,0.000284578,,461,스탤론,0.000285995
462,상수,0.000284338,,462,겨울왕국,0.000284771
463,밤새,0.000284215,,463,목표,0.000284527
464,봐야겠어,0.000283955,,464,예술적,0.0002831
465,일일,0.000281927,,465,리플,0.00028224
466,태일,0.000281523,,466,다섯,0.000281995
467,조상님,0.000281127,,467,태평,0.000280582
468,엽문,0.000279518,,468,안질,0.00027991
469,에로영화,0.000279369,,469,경우,0.000278432
470,진흙,0.000279161,,470,첩보,0.000278351
471,전결,0.000278853,,471,멜로,0.000277064
472,사토,0.000278765,,472,개막,0.000275546
473,수상,0.000278674,,473,블레이드,0.000274848
474,완전,0.000278188,,474,아씨,0.000274553
475,미술관,0.000277589,,475,예리,0.000273754
476,운영화,0.000276216,,476,니콜라스케이지,0.000272937
477,전태일,0.000275803,,477,브레,0.000271852
478,기승전결,0.000275178,,478,격투,0.000271744
479,성에,0.000274464,,479,훈련,0.000271114
480,편안해지,0.000271436,,480,정주행,0.000270107
481,서서,0.000269452,,481,각인,0.00026986
482,일품,0.000269421,,482,숙씨,0.000269437
483,이안,0.000266659,,483,맹인,0.000268641
484,어보이,0.00026662,,484,싱크로,0.000266692
485,맥어보이,0.000266257,,485,몸짓,0.000266289
486,계신,0.000265069,,486,전환,0.000264696
487,하지원,0.000265062,,487,코스트,0.000264629
488,상업영화,0.000264271,,488,검색,0.000263056
489,기발,0.000264069,,489,피의,0.000262778
490,지수,0.000262197,,490,폭력,0.000262646
491,한국사람,0.000261963,,491,자매,0.000262025
492,경인,0.000261894,,492,왓으,0.000260681
493,홍경인,0.000261894,,493,처음봄,0.00026048
494,애드,0.000261643,,494,작살,0.00025869
495,점줄,0.000261561,,495,중독성,0.000258586
496,편지,0.000258939,,496,불만,0.000257864
497,안성,0.000257721,,497,친구,0.000257774
498,감탄사,0.000257341,,498,고난,0.000257687
499,도사,0.00025705,,499,일주일동안,0.000257398
500,오락물,0.000257045,,500,라디오,0.00025682
501,고개,0.000256543,,501,싸구려,0.000256746
502,폴워,0.000256343,,502,코비,0.000255392
503,도의,0.000255845,,503,음냐,0.000255288
504,크래딧,0.000255016,,504,완전조으다,0.000255063
505,연상,0.000253035,,505,으다,0.000255063
506,기연,0.000253025,,506,한마리,0.000254902
507,남친,0.000252587,,507,과하지도,0.000254198
508,번이상,0.000252103,,508,과하,0.000254198
509,부산국제영화제,0.000250793,,509,고모,0.00025367
510,무작정,0.000250237,,510,무의미하다,0.000252677
511,볼만해,0.000249417,,511,화장품,0.000252499
512,홍상수,0.000247955,,512,이상하다,0.000251952
513,다작,0.000246463,,513,결합,0.000251743
514,뮤츠,0.000246289,,514,트라우마,0.000250613
515,움직임,0.000245968,,515,영리,0.000250364
516,정식,0.000245557,,516,영화감독,0.000250218
517,그물,0.000245472,,517,기회,0.000248694
518,무관심,0.000245402,,518,중인,0.000248583
519,여사,0.000244803,,519,해바라기,0.000248394
520,운동,0.000243068,,520,비린내,0.000247959
521,아픔,0.000242883,,521,오즈,0.000246628
522,통제,0.00024269,,522,김치,0.000245986
523,훗날,0.000242439,,523,물론,0.000245511
524,자비,0.000240986,,524,윤하,0.00024339
525,집단,0.000239862,,525,시간여행,0.000243003
526,세기,0.000238663,,526,어머님,0.000241275
527,기만,0.000238478,,527,군인,0.000240974
528,피부,0.000238476,,528,유정,0.000240354
529,드라마틱,0.000237901,,529,금지,0.000240154
530,유치원,0.000236354,,530,동구,0.000240008
531,이십,0.000235882,,531,스릴러,0.000238769
532,개로,0.000235351,,532,소드,0.000238749
533,피닉스,0.000235143,,533,거북,0.000238539
534,온라인,0.00023492,,534,기본,0.000238037
535,정신적,0.000234894,,535,실화,0.000237854
536,연걸이형,0.000234586,,536,사형,0.000237846
537,가르,0.000234443,,537,매너,0.000236835
538,지랑,0.000234035,,538,사위,0.000236805
539,자신,0.0002334,,539,누군지,0.000235178
540,끝판왕,0.000233125,,540,군지,0.000235178
541,핸드,0.000232657,,541,박수,0.000234658
542,구경,0.000231922,,542,기차,0.000234193
543,알콜,0.000231527,,543,이태,0.000233606
544,이중,0.000231354,,544,이상은,0.000233468
545,마케팅,0.000231337,,545,스릴러물,0.000233053
546,잔해,0.000231169,,546,훼손,0.000232296
547,이슬람,0.000230907,,547,예측,0.000231884
548,현란,0.000229943,,548,분투,0.000231873
549,하구만,0.000229939,,549,기계,0.000231549
550,박해일,0.000228698,,550,중학생때,0.000231028
551,부여,0.00022757,,551,실소,0.000229671
552,상경,0.000227387,,552,미만,0.000229088
553,정우,0.000226623,,553,내가본,0.000229085
554,주지훈,0.000226116,,554,냉소,0.000229041
555,무술영화,0.000226025,,555,다섯번,0.000228865
556,그전,0.000225723,,556,아진,0.000228313
557,리브스,0.000224915,,557,시집,0.000228252
558,모도,0.000224703,,558,권리,0.000228131
559,충무로,0.000223666,,559,왕짱,0.000228073
560,저질,0.000222915,,560,마누라,0.00022789
561,생전,0.000222328,,561,혹평,0.000227832
562,만점,0.000222025,,562,어린아이,0.000227829
563,이득,0.000221732,,563,거탑,0.000227722
564,예모,0.000220128,,564,전무,0.00022742
565,이탈리아,0.000219755,,565,사악,0.000227035
566,시스템,0.000219352,,566,연걸,0.000224198
567,시간내서,0.000218589,,567,야간,0.000223388
568,상영관,0.000217295,,568,버그감독,0.000223163
569,동적,0.000217283,,569,아이돌이,0.000221368
570,류승룡,0.000217022,,570,고문,0.000220396
571,스콧,0.000216654,,571,동갑,0.000220263
572,오만,0.000216517,,572,정음,0.000219922
573,해전,0.000216485,,573,수정,0.000219739
